                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-21.11.1"                                 "CRMATH"                               "20230106"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      708                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9400885905876968E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9400885905876968E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645091979998E+000                 -8.5470200483080006E+001                 -2.1072099696478681E+001                 -5.1660645091979998E+000                 -5.1660645092212647E+000                 -1.5437142950014149E+001                 -8.5470200483080006E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344627687039761E+000                  6.8703121766348282E-002                  2.8807918433971980E-001                  3.8619092586236934E+000                  1.1163463999067245E-006                  1.4804229544181851E+001                  7.6251328716419639E-002                  6.5936851581795102E+000                  6.0724345410871283E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        2 
                                       5                                      708                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.7222298516937659E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.7222298516937659E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645091561497E+000                 -8.5470200482731499E+001                 -2.0373129692142662E+001                 -5.1660645091561497E+000                 -5.1660645091794155E+000                 -1.5437142949881148E+001                 -8.5470200482731499E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628050858874E+000                  6.8703267401396220E-002                  2.8807918439341973E-001                  3.8619092585162935E+000                  5.7152934515757126E-010                  1.4804229544199224E+001                  7.6251328729743190E-002                  6.5936851581835594E+000                  6.0724345410871061E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        5 
                                      10                                      708                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.7468267551113658E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.7468267551113658E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645090296455E+000                 -8.5470200481668954E+001                 -9.8999999999999986E+001                 -5.1660645090296464E+000                 -5.1660645090529105E+000                 -1.5437142949475996E+001                 -8.5470200481668954E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628063998190E+000                  6.8703272647422431E-002                  2.8807918438857033E-001                  3.8619092585259924E+000                 -6.3730730019031111E-010                  1.4804229544251118E+001                  7.6251328769180809E-002                  6.5936851581959939E+000                  6.0724345410870373E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        3 
                                      15                                      708                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.7808174305807881E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.7808174305807881E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645087076578E+000                 -8.5470200478955164E+001                 -9.8999999999999986E+001                 -5.1660645087076578E+000                 -5.1660645087309227E+000                 -1.5437142948441435E+001                 -8.5470200478955164E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628067682585E+000                  6.8703274056028815E-002                  2.8807918435599456E-001                  3.8619092585911439E+000                 -1.3086904314610251E-009                  1.4804229544382462E+001                  7.6251328868617685E-002                  6.5936851582278475E+000                  6.0724345410868596E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        3 
                                      20                                      708                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.8241406572589540E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.8241406572589540E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645078991552E+000                 -8.5470200472130102E+001                 -9.8999999999999986E+001                 -5.1660645078991552E+000                 -5.1660645079224201E+000                 -1.5437142945840415E+001                 -8.5470200472130102E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628068151366E+000                  6.8703274076650320E-002                  2.8807918427255014E-001                  3.8619092587580326E+000                 -1.2409358136124382E-009                  1.4804229544711561E+001                  7.6251329117371022E-002                  6.5936851583080420E+000                  6.0724345410864122E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        2 
                                      25                                      708                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.8698533456284238E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.8698533456284238E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645058804979E+000                 -8.5470200455079208E+001                 -2.1072099696478681E+001                 -5.1660645058804979E+000                 -5.1660645059037638E+000                 -1.5437142939343151E+001                 -8.5470200455079208E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628066701801E+000                  6.8703273081937716E-002                  2.8807918406510558E-001                  3.8619092591729220E+000                 -1.0435166658105047E-009                  1.4804229545532582E+001                  7.6251329737591036E-002                  6.5936851585084666E+000                  6.0724345410852920E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        2 
                                      30                                      708                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9153122729192980E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9153122729192980E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660645008512720E+000                 -8.5470200412587289E+001                 -9.8999999999999986E+001                 -5.1660645008512720E+000                 -5.1660645008745369E+000                 -1.5437142923152644E+001                 -8.5470200412587289E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628053806129E+000                  6.8703266825128520E-002                  2.8807918351583545E-001                  3.8619092602714620E+000                 -1.2980109495631302E-009                  1.4804229547577496E+001                  7.6251331282047363E-002                  6.5936851590079790E+000                  6.0724345410825054E-001                  8.6500443417191275E-001                  1.2598868944544981E+000                  7.3000000000000009E-001                  2.4997339496852580E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        3 
                                      35                                      708                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9423469713690050E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9423469713690050E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660644883288542E+000                 -8.5470200306770323E+001                 -9.8999999999999986E+001                 -5.1660644883288542E+000                 -5.1660644883521192E+000                 -1.5437142882835564E+001                 -8.5470200306770323E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628056087371E+000                  6.8703265187042853E-002                  2.8807918224054402E-001                  3.8619092628220448E+000                 -1.1227796750098689E-009                  1.4804229552668321E+001                  7.6251335126601122E-002                  6.5936851602518871E+000                  6.0724345410755587E-001                  8.6500443417191231E-001                  1.2598868944544983E+000                  7.2999999999999998E-001                  2.4997339496852575E-001                  3.4468833607861544E-003                  9.3805276451495410E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        2 
                                      40                                      708                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9503852212895499E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926400007E-001                  2.9503852212895499E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1660644571627126E+000                 -8.5470200043391813E+001                 -9.8999999999999986E+001                 -5.1660644571627126E+000                 -5.1660644571859775E+000                 -1.5437142782489149E+001                 -8.5470200043391813E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6344628077578967E+000                  6.8703267466660667E-002                  2.8807917908203368E-001                  3.8619092691390655E+000                 -1.0971259780907664E-009                  1.4804229565337947E+001                  7.6251344694264644E-002                  6.5936851633479794E+000                  6.0724345410582636E-001                  8.6500443417191231E-001                  1.2598868944544983E+000                  7.2999999999999998E-001                  2.4997339496852575E-001                  3.4468833607861544E-003                  9.3805276451495410E-003                  3.4468833607861544E-003                  9.3805276451495393E-003                  7.2999999999999976E-001                  2.4997339496852561E-001                                        0                                        2 
